ID;Nom;Année de sortie;Classification;Durée (min);Genre1;Genre2;Genre3
0;The Dark Knight : Le Chevalier noir;2008;Tous publics;152;Action; Crime; Drama
1;Le Seigneur des anneaux : Le Retour du roi;2003;Tous publics avec avertissement;201;Action; Adventure; Drama
2;Inception;2010;Tous publics;148;Action; Adventure; Sci-Fi
3;Le Seigneur des anneaux : La Communauté de l'anneau;2001;Tous publics;178;Action; Adventure; Drama
4;Le Seigneur des anneaux : Les Deux Tours;2002;Tous publics avec avertissement;179;Action; Adventure; Drama
5;Matrix;1999;Tous publics avec avertissement;136;Action; Sci-Fi;
6;L'Empire contre-attaque;1980;Tous publics;124;Action; Adventure; Fantasy
7;Soorarai Pottru;2020;18;153;Action; Drama;
8;Star Wars: Épisode IV - Un nouvel espoir;1977;Tous publics;121;Action; Adventure; Fantasy
9;Terminator 2 : Le jugement dernier;1991;12;137;Action; Sci-Fi;
10;Les 7 Samouraïs;1954;Tous publics;207;Action; Drama;
11;Harakiri;1962;Tous publics;133;Action; Drama; Mystery
12;Sita Ramam;2022;;163;Action; Drama; Mystery
13;Léon;1994;12;110;Action; Crime; Drama
14;Gladiator;2000;Tous publics avec avertissement;155;Action; Adventure; Drama
15;Avengers: Endgame;2019;Tous publics;181;Action; Adventure; Drama
16;Spider-Man: New Generation;2018;Tous publics;117;Animation; Action; Adventure
17;Avengers: Infinity War;2018;Tous publics;149;Action; Adventure; Sci-Fi
18;Old Boy;2003;16;120;Action; Drama; Mystery
19;Les Aventuriers de l'arche perdue;1981;Tous publics;115;Action; Adventure;
20;The Dark Knight Rises;2012;Tous publics;164;Action; Drama; Thriller
21;Aliens : Le Retour;1986;13;137;Action; Adventure; Sci-Fi
22;Kaithi;2019;18;145;Action; Adventure; Crime
23;Asuran;2019;;141;Action; Drama;
24;Les Gardiens de la Galaxie 3;2023;Tous publics;150;Action; Adventure; Comedy
25;Heat;1995;Tous publics avec avertissement;170;Action; Crime; Drama
26;Top Gun: Maverick;2022;Tous publics;130;Action; Drama;
27;Le Retour du Jedi;1983;Tous publics;131;Action; Adventure; Fantasy
28;Princesse Mononoké;1997;Tous publics;134;Animation; Action; Adventure
29;La mort aux trousses;1959;Tous publics;136;Action; Adventure; Mystery
30;Kantara;2022;;148;Action; Adventure; Drama
31;Dangal;2016;Tous publics;161;Action; Biography; Drama
32;K.G.F: Chapter 2;2022;13;168;Action; Crime; Drama
33;Vikram;2022;;175;Action; Crime; Thriller
34;Ratsasan;2018;;170;Action; Crime; Drama
35;Shershaah;2021;13;135;Action; Biography; Drama
36;John Wick: Chapitre 4;2023;12;169;Action; Crime; Thriller
37;Spider-Man: No Way Home;2021;Tous publics;148;Action; Adventure; Fantasy
38;1917;2019;Tous publics avec avertissement;119;Action; Drama; War
39;Jurassic Park;1993;Tous publics;127;Action; Adventure; Sci-Fi
40;Kill Bill: Volume I;2003;16;111;Action; Crime; Drama
41;Batman Begins;2005;Tous publics;140;Action; Crime; Drama
42;Indiana Jones et la dernière croisade;1989;Tous publics;127;Action; Adventure;
43;Piège de cristal;1988;Tous publics;132;Action; Thriller;
44;V pour vendetta;2005;Tous publics avec avertissement;132;Action; Drama; Sci-Fi
45;Warrior;2011;Tous publics;140;Action; Drama; Sport
46;Demon Slayer - Kimetsu no Yaiba, le film : Le Train de l'Infini;2020;Tous publics avec avertissement;117;Animation; Action; Adventure
47;Ran;1985;Tous publics;162;Action; Drama; War
48;Le garde du corps;1961;Tous publics;110;Action; Drama; Thriller
49;Gangs of Wasseypur;2012;Tous publics avec avertissement;321;Action; Comedy; Crime
50;Le Seigneur des anneaux : Le Retour du roi;2003;Tous publics avec avertissement;201;Action; Adventure; Drama
51;Inception;2010;Tous publics;148;Action; Adventure; Sci-Fi
53;Le Bon, la brute, le truand;1966;12;161;Adventure; Western;
54;Le Seigneur des anneaux : Les Deux Tours;2002;Tous publics avec avertissement;179;Action; Adventure; Drama
55;777 Charlie;2022;;164;Adventure; Comedy; Drama
56;L'Empire contre-attaque;1980;Tous publics;124;Action; Adventure; Fantasy
57;Interstellar;2014;Tous publics;169;Adventure; Drama; Sci-Fi
58;Star Wars: Épisode IV - Un nouvel espoir;1977;Tous publics;121;Action; Adventure; Fantasy
59;Le voyage de Chihiro;2001;Tous publics;125;Animation; Adventure; Family
60;Gladiator;2000;Tous publics avec avertissement;155;Action; Adventure; Drama
61;Retour vers le futur;1985;Tous publics;116;Adventure; Comedy; Sci-Fi
62;Le Roi Lion;1994;Tous publics;88;Animation; Adventure; Drama
63;Avengers: Endgame;2019;Tous publics;181;Action; Adventure; Drama
64;Spider-Man: New Generation;2018;Tous publics;117;Animation; Action; Adventure
65;Avengers: Infinity War;2018;Tous publics;149;Action; Adventure; Sci-Fi
66;Les Aventuriers de l'arche perdue;1981;Tous publics;115;Action; Adventure;
67;Aliens : Le Retour;1986;13;137;Action; Adventure; Sci-Fi
68;Coco;2017;Tous publics;105;Animation; Adventure; Comedy
69;WALL·E;2008;Tous publics;98;Animation; Adventure; Family
70;Kaithi;2019;18;145;Action; Adventure; Crime
71;Les Gardiens de la Galaxie 3;2023;Tous publics;150;Action; Adventure; Comedy
72;Inglourious Basterds;2009;12;153;Adventure; Drama; War
73;Le Retour du Jedi;1983;Tous publics;131;Action; Adventure; Fantasy
74;2001 : L'Odyssée de l'espace;1968;Tous publics;149;Adventure; Sci-Fi;
75;Toy Story;1995;Tous publics;81;Animation; Adventure; Comedy
76;Là-haut;2009;Tous publics;96;Animation; Adventure; Comedy
77;Lawrence d'Arabie;1962;Tous publics;218;Adventure; Biography; Drama
78;Princesse Mononoké;1997;Tous publics;134;Animation; Action; Adventure
79;Toy Story 3;2010;Tous publics;103;Animation; Adventure; Comedy
80;La mort aux trousses;1959;Tous publics;136;Action; Adventure; Mystery
81;Kantara;2022;;148;Action; Adventure; Drama
82;Spider-Man: No Way Home;2021;Tous publics;148;Action; Adventure; Fantasy
83;Jurassic Park;1993;Tous publics;127;Action; Adventure; Sci-Fi
84;Le château ambulant;2004;Tous publics;119;Animation; Adventure; Family
85;Le Monde de Nemo;2003;Tous publics;100;Animation; Adventure; Comedy
86;Indiana Jones et la dernière croisade;1989;Tous publics;127;Action; Adventure;
87;Monty Python : Sacré Graal !;1975;Tous publics;91;Adventure; Comedy; Fantasy
88;Demon Slayer - Kimetsu no Yaiba, le film : Le Train de l'Infini;2020;Tous publics avec avertissement;117;Animation; Action; Adventure
89;Le Trésor de la Sierra Madre;1948;Tous publics;126;Adventure; Drama; Western
90;La Grande Évasion;1963;Tous publics;172;Adventure; Drama; History
91;La légende de Klaus;2019;7;96;Animation; Adventure; Comedy
92;Le salaire de la peur;1953;Tous publics;156;Adventure; Drama; Thriller
93;Dersou Ouzala;1975;Tous publics;142;Adventure; Biography; Drama
94;The Grand Budapest hotel;2014;Tous publics;99;Adventure; Comedy; Crime
95;Mad Max: Fury Road;2015;Tous publics avec avertissement;120;Action; Adventure; Sci-Fi
96;Pirates des Caraïbes : La malédiction du Black Pearl;2003;Tous publics;143;Action; Adventure; Fantasy
97;Les Dents de la mer;1975;13;124;Adventure; Mystery; Thriller
98;Stand by Me : Compte sur moi;1986;Tous publics;89;Adventure; Drama;
99;Ratatouille;2007;Tous publics;111;Animation; Adventure; Comedy
100;Le voyage de Chihiro;2001;Tous publics;125;Animation; Adventure; Family
101;Le Roi Lion;1994;Tous publics;88;Animation; Adventure; Drama
102;Le tombeau des lucioles;1988;Tous publics;89;Animation; Drama; War
103;Spider-Man: New Generation;2018;Tous publics;117;Animation; Action; Adventure
104;Your Name.;2016;Tous publics;106;Animation; Drama; Fantasy
105;Coco;2017;Tous publics;105;Animation; Adventure; Comedy
106;WALL·E;2008;Tous publics;98;Animation; Adventure; Family
107;Toy Story;1995;Tous publics;81;Animation; Adventure; Comedy
108;Là-haut;2009;Tous publics;96;Animation; Adventure; Comedy
109;Princesse Mononoké;1997;Tous publics;134;Animation; Action; Adventure
110;Toy Story 3;2010;Tous publics;103;Animation; Adventure; Comedy
111;Le château ambulant;2004;Tous publics;119;Animation; Adventure; Family
112;Le Monde de Nemo;2003;Tous publics;100;Animation; Adventure; Comedy
113;Demon Slayer - Kimetsu no Yaiba, le film : Le Train de l'Infini;2020;Tous publics avec avertissement;117;Animation; Action; Adventure
114;La légende de Klaus;2019;7;96;Animation; Adventure; Comedy
115;Ratatouille;2007;Tous publics;111;Animation; Adventure; Comedy
116;Vice-versa;2015;Tous publics;95;Animation; Adventure; Comedy
117;Monstres & Cie;2001;Tous publics;92;Animation; Adventure; Comedy
118;Dragons;2010;Tous publics;98;Animation; Action; Adventure
119;Mon voisin Totoro;1988;Tous publics;86;Animation; Comedy; Family
120;Le géant de fer;1999;Tous publics;86;Animation; Action; Adventure
121;Silent Voice;2016;Tous publics avec avertissement;130;Animation; Drama;
122;Neon Genesis Evangelion: The End of Evangelion;1997;12;87;Animation; Action; Drama
123;Mary et Max.;2009;Tous publics;92;Animation; Comedy; Drama
124;Les enfants loups, Ame & Yuki;2012;Tous publics;117;Animation; Drama; Family
125;Les Indestructibles;2004;Tous publics;115;Animation; Action; Adventure
126;Zootopie;2016;Tous publics;108;Animation; Adventure; Comedy
127;Aladdin;1992;Tous publics;90;Animation; Adventure; Comedy
128;Soul;2020;6;100;Animation; Adventure; Comedy
129;Perfect Blue;1997;12;81;Animation; Crime; Drama
130;La Belle et la Bête;1991;Tous publics;84;Animation; Family; Fantasy
131;Akira;1988;12;124;Animation; Action; Drama
132;Le peuple loup;2020;Tous publics;103;Animation; Action; Adventure
133;Le Château dans le ciel;1986;Tous publics;125;Animation; Adventure; Family
134;Nausicaä de la vallée du vent;1984;Tous publics;117;Animation; Adventure; Sci-Fi
135;Le chant de la mer;2014;Tous publics;93;Animation; Adventure; Drama
136;Le conte de la princesse Kaguya;2013;Tous publics;137;Animation; Drama; Family
137;Persepolis;2007;Tous publics;96;Animation; Biography; Drama
138;Le Chat potté 2 : La Dernière Quête;2022;Tous publics;102;Animation; Adventure; Comedy
139;Fantastic Mr. Fox;2009;Tous publics;87;Animation; Adventure; Comedy
140;Shrek;2001;Tous publics;90;Animation; Adventure; Comedy
141;Toy Story 2;1999;Tous publics;92;Animation; Adventure; Comedy
142;Ghost in the Shell;1995;Tous publics;83;Animation; Action; Crime
143;L'étrange Noël de monsieur Jack;1993;Tous publics;76;Animation; Family; Fantasy
144;Si tu tends l'oreille;1995;Tous publics;111;Animation; Drama; Family
145;Les Nouveaux Héros;2014;Tous publics;102;Animation; Action; Adventure
146;L'Île aux chiens;2018;Tous publics;101;Animation; Adventure; Comedy
147;Dragons 2;2014;Tous publics;102;Animation; Action; Adventure
148;Kiki la petite sorcière;1989;Tous publics;103;Animation; Family; Fantasy
149;La passion Van Gogh;2017;Tous publics;94;Animation; Drama; Mystery
150;La liste de Schindler;1993;Tous publics;195;Biography; Drama; History
151;Rocketry: The Nambi Effect;2022;;157;Biography; Drama;
152;Les affranchis;1990;16;145;Biography; Crime; Drama
153;Le pianiste;2002;Tous publics;150;Biography; Drama; Music
154;Intouchables;2011;Tous publics;112;Biography; Comedy; Drama
155;Braveheart;1995;Tous publics;178;Biography; Drama; History
156;Amadeus;1984;Tous publics;160;Biography; Drama; Music
157;Sardar Udham;2021;16;164;Biography; Crime; Drama
158;Hamilton;2020;12;160;Biography; Drama; History
159;Lawrence d'Arabie;1962;Tous publics;218;Adventure; Biography; Drama
160;Dangal;2016;Tous publics;161;Action; Biography; Drama
161;Ayla;2017;;125;Biography; Drama; History
162;Shershaah;2021;13;135;Action; Biography; Drama
163;Le loup de Wall Street;2013;12;180;Biography; Comedy; Crime
164;Un homme d'exception;2001;Tous publics;135;Biography; Drama;
165;Green Book: Sur les routes du sud;2018;Tous publics;130;Biography; Comedy; Drama
166;La chute;2004;Tous publics avec avertissement;156;Biography; Drama; History
167;Elephant Man;1980;Tous publics;124;Biography; Drama;
168;La passion de Jeanne d'Arc;1928;Not Rated;110;Biography; Drama; History
169;Dersou Ouzala;1975;Tous publics;142;Adventure; Biography; Drama
170;Bhaag Milkha Bhaag;2013;;186;Biography; Drama; Sport
171;Paan Singh Tomar;2012;;135;Action; Biography; Crime
172;Tu ne tueras point;2016;12;139;Biography; Drama; History
173;Le Mans '66;2019;Tous publics;152;Action; Biography; Drama
174;Arrête-moi si tu peux;2002;Tous publics;141;Biography; Crime; Drama
175;Spotlight;2015;Tous publics;129;Biography; Crime; Drama
176;Into the Wild;2007;Tous publics;148;Adventure; Biography; Drama
177;Procès de singe;1960;Tous publics;128;Biography; Drama; History
178;Rush;2013;Tous publics;123;Action; Biography; Drama
179;La mélodie du bonheur;1965;Tous publics;172;Biography; Drama; Family
180;Raging Bull;1980;12;129;Biography; Drama; Sport
181;12 Years a Slave;2013;Tous publics avec avertissement;134;Biography; Drama; History
182;Hatchi;2009;Tous publics;93;Biography; Drama; Family
183;Hôtel Rwanda;2004;Tous publics;121;Biography; Drama; History
184;Au nom du père;1993;Tous publics;133;Biography; Crime; Drama
185;Le message;1976;Tous publics;177;Biography; Drama; History
186;Andreï Roublev;1966;;205;Biography; Drama; History
187;Major;2022;;150;Action; Biography; Drama
188;Le discours d'un roi;2010;Tous publics;118;Biography; Drama; History
189;Imitation Game;2014;Tous publics;114;Biography; Drama; Thriller
190;À la recherche du bonheur;2006;Tous publics;117;Biography; Drama;
191;Un après-midi de chien;1975;Tous publics;125;Biography; Crime; Drama
192;Lion;2016;Tous publics;118;Biography; Drama;
193;Butch Cassidy et le Kid;1969;Tous publics;110;Biography; Crime; Drama
194;Papillon;1973;Tous publics;151;Biography; Crime; Drama
195;Ip man;2008;12;106;Action; Biography; Drama
196;De l'ombre à la lumière;2005;Tous publics;144;Biography; Drama; Romance
197;Gandhi;1982;Tous publics;191;Biography; Drama; History
198;Une histoire vraie;1999;Tous publics;112;Biography; Drama;
199;Le miroir;1975;Tous publics;107;Biography; Drama;
200;Hababam Sinifi;1975;;87;Comedy; Drama;
201;777 Charlie;2022;;164;Adventure; Comedy; Drama
202;La vie est belle;1997;Tous publics;116;Comedy; Drama; Romance
203;Retour vers le futur;1985;Tous publics;116;Adventure; Comedy; Sci-Fi
204;Intouchables;2011;Tous publics;112;Biography; Comedy; Drama
205;Les temps modernes;1936;Tous publics;87;Comedy; Drama; Romance
206;Les lumières de la ville;1931;Tous publics;87;Comedy; Drama; Romance
207;Spider-Man: New Generation;2018;Tous publics;117;Animation; Action; Adventure
208;Coco;2017;Tous publics;105;Animation; Adventure; Comedy
209;Dr. Folamour ou : Comment j'ai appris à ne plus m'en faire et à aimer la bombe !;1964;Tous publics;95;Comedy; War;
210;3 Idiots;2009;Tous publics;170;Comedy; Drama;
211;Le dictateur;1940;Tous publics;125;Comedy; Drama; War
212;Dil Bechara;2020;;101;Comedy; Drama; Romance
213;Les Gardiens de la Galaxie 3;2023;Tous publics;150;Action; Adventure; Comedy
214;Toy Story;1995;Tous publics;81;Animation; Adventure; Comedy
215;Chantons sous la pluie;1952;Tous publics;103;Comedy; Musical; Romance
216;Là-haut;2009;Tous publics;96;Animation; Adventure; Comedy
217;Le fabuleux destin d'Amélie Poulain;2001;Tous publics;122;Comedy; Romance;
218;Toy Story 3;2010;Tous publics;103;Animation; Adventure; Comedy
219;L'Arnaque;1973;Tous publics;129;Comedy; Crime; Drama
220;La garçonnière;1960;Tous publics;125;Comedy; Drama; Romance
221;Le Kid;1921;Tous publics;68;Comedy; Drama; Family
222;Chhichhore;2019;;143;Comedy; Drama; Romance
223;Le loup de Wall Street;2013;12;180;Biography; Comedy; Crime
224;Snatch - Tu braques ou tu raques;2000;Tous publics;104;Comedy; Crime;
225;Green Book: Sur les routes du sud;2018;Tous publics;130;Biography; Comedy; Drama
226;The Truman Show;1998;Tous publics;103;Comedy; Drama;
227;Le Monde de Nemo;2003;Tous publics;100;Animation; Adventure; Comedy
228;Monty Python : Sacré Graal !;1975;Tous publics;91;Adventure; Comedy; Fantasy
229;Certains l'aiment chaud;1959;12;121;Comedy; Music; Romance
230;La légende de Klaus;2019;7;96;Animation; Adventure; Comedy
231;On ne vit qu'une seule fois;2011;;155;Comedy; Drama; Musical
232;Jeu dangereux;1942;Tous publics;99;Comedy; Romance; War
233;Gangs of Wasseypur;2012;Tous publics avec avertissement;321;Action; Comedy; Crime
234;Sherlock Junior;1924;Tous publics;45;Action; Comedy; Romance
235;The Grand Budapest hotel;2014;Tous publics;99;Adventure; Comedy; Crime
236;The Big Lebowski;1998;Tous publics;117;Comedy; Crime;
237;Ratatouille;2007;Tous publics;111;Animation; Adventure; Comedy
238;Le Cercle des poètes disparus;1989;Tous publics;128;Comedy; Drama;
239;3 Billboards: Les panneaux de la vengeance;2017;Tous publics;115;Comedy; Crime; Drama
240;Vice-versa;2015;Tous publics;95;Animation; Adventure; Comedy
241;Monstres & Cie;2001;Tous publics;92;Animation; Adventure; Comedy
242;Arnaques, crimes et botanique;1998;Tous publics;107;Action; Comedy; Crime
243;Dragons;2010;Tous publics;98;Animation; Action; Adventure
244;Les Nouveaux Sauvages;2014;Tous publics avec avertissement;122;Comedy; Drama; Thriller
245;Mon voisin Totoro;1988;Tous publics;86;Animation; Comedy; Family
246;Le géant de fer;1999;Tous publics;86;Animation; Action; Adventure
247;La barbe à papa;1973;Tous publics;102;Comedy; Crime; Drama
248;P.K.;2014;13;153;Comedy; Drama; Sci-Fi
249;Mary et Max.;2009;Tous publics;92;Animation; Comedy; Drama
250;Le Parrain;1972;12;175;Crime; Drama;
251;The Dark Knight : Le Chevalier noir;2008;Tous publics;152;Action; Crime; Drama
252;Le Parrain, 2ᵉ partie;1974;13;202;Crime; Drama;
253;12 Hommes en colère;1957;Tous publics;96;Crime; Drama;
254;Aynabaji;2016;;147;Crime; Mystery; Thriller
255;Pulp Fiction;1994;12;154;Crime; Drama;
256;Jai Bhim;2021;;164;Crime; Drama; Mystery
257;Les affranchis;1990;16;145;Biography; Crime; Drama
258;La ligne verte;1999;12;189;Crime; Drama; Fantasy
259;Seven;1995;12;127;Crime; Drama; Mystery
260;Le Silence des agneaux;1991;16;118;Crime; Drama; Thriller
261;La cité de Dieu;2002;16;130;Crime; Drama;
262;Léon;1994;12;110;Action; Crime; Drama
263;Les infiltrés;2006;Tous publics avec avertissement;151;Crime; Drama; Thriller
264;Usual Suspects;1995;Tous publics;106;Crime; Drama; Mystery
265;American History X;1998;12;119;Crime; Drama;
266;Joker;2019;12 avec avertissement;122;Crime; Drama; Thriller
267;Témoin à charge;1957;Tous publics;116;Crime; Drama; Mystery
268;Kaithi;2019;18;145;Action; Adventure; Crime
269;Entre le ciel et l'enfer;1963;Tous publics;143;Crime; Drama; Mystery
270;Sardar Udham;2021;16;164;Biography; Crime; Drama
271;Drishyam 2;2021;13;152;Crime; Drama; Thriller
272;Heat;1995;Tous publics avec avertissement;170;Action; Crime; Drama
273;Scarface;1983;13;170;Crime; Drama;
274;Orange mécanique;1971;18;136;Crime; Sci-Fi;
275;Reservoir Dogs;1992;16;99;Crime; Thriller;
276;Il était une fois en Amérique;1984;Tous publics;229;Crime; Drama;
277;Du silence et des ombres...;1962;12;129;Crime; Drama;
278;L'Arnaque;1973;Tous publics;129;Comedy; Crime; Drama
279;M le maudit;1931;Tous publics;118;Crime; Mystery; Thriller
280;Assurance sur la mort;1944;Tous publics;107;Crime; Drama; Film-Noir
281;K.G.F: Chapter 2;2022;13;168;Action; Crime; Drama
282;Vikram;2022;;175;Action; Crime; Thriller
283;Ratsasan;2018;;170;Action; Crime; Drama
284;Drishyam;2013;;160;Crime; Drama; Thriller
285;John Wick: Chapitre 4;2023;12;169;Action; Crime; Thriller
286;Le loup de Wall Street;2013;12;180;Biography; Comedy; Crime
287;Taxi Driver;1976;16;114;Crime; Drama;
288;No Country for Old Men;2007;12;122;Crime; Drama; Thriller
289;Snatch - Tu braques ou tu raques;2000;Tous publics;104;Comedy; Crime;
290;Casino;1995;12;178;Crime; Drama;
291;Kill Bill: Volume I;2003;16;111;Action; Crime; Drama
292;Batman Begins;2005;Tous publics;140;Action; Crime; Drama
293;L.A. Confidential;1997;Tous publics;138;Crime; Drama; Mystery
294;Drishyam 2;2022;13;140;Crime; Drama; Mystery
295;Rashomon;1950;Tous publics;88;Crime; Drama; Mystery
296;Le crime était presque parfait;1954;Tous publics;105;Crime; Thriller;
297;Z;1969;Tous publics;127;Crime; Drama; Thriller
298;Drishyam;2015;18;163;Crime; Drama; Mystery
299;Andhadhun;2018;;139;Crime; Mystery; Thriller
300;Les Évadés;1994;Tous publics avec avertissement;142;Drama;;
301;Le Parrain;1972;12;175;Crime; Drama;
302;Hababam Sinifi;1975;;87;Comedy; Drama;
303;The Dark Knight : Le Chevalier noir;2008;Tous publics;152;Action; Crime; Drama
304;La liste de Schindler;1993;Tous publics;195;Biography; Drama; History
305;Le Parrain, 2ᵉ partie;1974;13;202;Crime; Drama;
306;12 Hommes en colère;1957;Tous publics;96;Crime; Drama;
307;Le Seigneur des anneaux : Le Retour du roi;2003;Tous publics avec avertissement;201;Action; Adventure; Drama
308;Pulp Fiction;1994;12;154;Crime; Drama;
309;Le Seigneur des anneaux : La Communauté de l'anneau;2001;Tous publics;178;Action; Adventure; Drama
310;Fight Club;1999;16;139;Drama;;
311;Forrest Gump;1994;Tous publics;142;Drama; Romance;
312;Le Seigneur des anneaux : Les Deux Tours;2002;Tous publics avec avertissement;179;Action; Adventure; Drama
313;Jai Bhim;2021;;164;Crime; Drama; Mystery
314;777 Charlie;2022;;164;Adventure; Comedy; Drama
315;Rocketry: The Nambi Effect;2022;;157;Biography; Drama;
316;Les affranchis;1990;16;145;Biography; Crime; Drama
317;Vol au-dessus d'un nid de coucou;1975;Tous publics avec avertissement;133;Drama;;
318;The Kashmir Files;2022;;170;Drama;;
319;Soorarai Pottru;2020;18;153;Action; Drama;
320;Interstellar;2014;Tous publics;169;Adventure; Drama; Sci-Fi
321;La ligne verte;1999;12;189;Crime; Drama; Fantasy
322;Seven;1995;12;127;Crime; Drama; Mystery
323;Le Silence des agneaux;1991;16;118;Crime; Drama; Thriller
324;Il faut sauver le soldat Ryan;1998;Tous publics avec avertissement;169;Drama; War;
325;La cité de Dieu;2002;16;130;Crime; Drama;
326;La vie est belle;1997;Tous publics;116;Comedy; Drama; Romance
327;Les 7 Samouraïs;1954;Tous publics;207;Action; Drama;
328;La vie est belle;1946;Tous publics;130;Drama; Family; Fantasy
329;Harakiri;1962;Tous publics;133;Action; Drama; Mystery
330;Sita Ramam;2022;;163;Action; Drama; Mystery
331;Léon;1994;12;110;Action; Crime; Drama
332;Parasite;2019;Tous publics avec avertissement;132;Drama; Thriller;
333;Les infiltrés;2006;Tous publics avec avertissement;151;Crime; Drama; Thriller
334;Gladiator;2000;Tous publics avec avertissement;155;Action; Adventure; Drama
335;Whiplash;2014;Tous publics;106;Drama; Music;
336;Le Prestige;2006;Tous publics;130;Drama; Mystery; Sci-Fi
