ID;Nom;Année de sortie;Classification;Durée (min);Genre1;Genre2;Genre3
677;Hair;1979;Tous publics;121;Comedy; Drama; Musical
678;Pinocchio;1940;Tous publics;88;Animation; Adventure; Comedy
679;Monty Python, le sens de la vie;1983;Tous publics;107;Comedy; Musical;
680;Les aventures de Winnie l'ourson;1977;Tous publics;74;Animation; Adventure; Comedy
681;Aynabaji;2016;;147;Crime; Mystery; Thriller
682;Jai Bhim;2021;;164;Crime; Drama; Mystery
683;La ligne verte;1999;12;189;Crime; Drama; Fantasy
684;Seven;1995;12;127;Crime; Drama; Mystery
685;Le voyage de Chihiro;2001;Tous publics;125;Animation; Adventure; Family
686;Harakiri;1962;Tous publics;133;Action; Drama; Mystery
687;Sita Ramam;2022;;163;Action; Drama; Mystery
688;Le Prestige;2006;Tous publics;130;Drama; Mystery; Sci-Fi
689;Usual Suspects;1995;Tous publics;106;Crime; Drama; Mystery
690;Psychose;1960;18;109;Horror; Mystery; Thriller
691;Fenêtre sur cour;1954;Tous publics;112;Mystery; Thriller;
692;Old Boy;2003;16;120;Action; Drama; Mystery
693;Apocalypse Now;1979;Tous publics avec avertissement;147;Drama; Mystery; War
694;Memento;2000;Tous publics;113;Mystery; Thriller;
695;Coco;2017;Tous publics;105;Animation; Adventure; Comedy
696;La vie des autres;2006;Tous publics;137;Drama; Mystery; Thriller
697;Témoin à charge;1957;Tous publics;116;Crime; Drama; Mystery
698;Entre le ciel et l'enfer;1963;Tous publics;143;Crime; Drama; Mystery
699;Incendies;2010;Tous publics avec avertissement;131;Drama; Mystery;
700;Sueurs froides;1958;Tous publics;128;Mystery; Romance; Thriller
701;Citizen Kane;1941;Tous publics;119;Drama; Mystery;
702;La mort aux trousses;1959;Tous publics;136;Action; Adventure; Mystery
703;M le maudit;1931;Tous publics;118;Crime; Mystery; Thriller
704;Assurance sur la mort;1944;Tous publics;107;Crime; Drama; Film-Noir
705;Ratsasan;2018;;170;Action; Crime; Drama
706;Shutter Island;2010;12;138;Mystery; Thriller;
707;The Father;2020;Tous publics;97;Drama; Mystery;
708;The Thing;1982;13;109;Horror; Mystery; Sci-Fi
709;Sixième sens;1999;12;107;Drama; Mystery; Thriller
710;Chinatown;1974;12;130;Drama; Mystery; Thriller
711;L.A. Confidential;1997;Tous publics;138;Crime; Drama; Mystery
712;Dans ses yeux;2009;Tous publics;129;Drama; Mystery; Romance
713;Drishyam 2;2022;13;140;Crime; Drama; Mystery
714;Rashomon;1950;Tous publics;88;Crime; Drama; Mystery
715;Drishyam;2015;18;163;Crime; Drama; Mystery
716;Andhadhun;2018;;139;Crime; Mystery; Thriller
717;Prisoners;2013;12;153;Crime; Drama; Mystery
718;Les Dents de la mer;1975;13;124;Adventure; Mystery; Thriller
719;Gone Girl;2014;Tous publics avec avertissement;149;Drama; Mystery; Thriller
720;Harry Potter et les Reliques de la Mort : partie 2;2011;Tous publics;130;Adventure; Family; Fantasy
721;Memories of Murder;2003;Tous publics;131;Crime; Drama; Mystery
722;Le troisième homme;1949;Tous publics;104;Film-Noir; Mystery; Thriller
723;Rebecca;1940;Tous publics;130;Drama; Film-Noir; Mystery
724;Trois couleurs: Rouge;1994;Tous publics;99;Drama; Mystery; Romance
725;Les diaboliques;1955;Tous publics;117;Crime; Drama; Horror
726;The Tashkent Files;2019;;134;Drama; Mystery; Thriller
727;A Wednesday;2008;;104;Action; Crime; Drama
728;Guilty;2015;;132;Crime; Drama; Mystery
729;Article 15;2019;;130;Crime; Drama; Mystery
730;Kahaani;2012;;122;Mystery; Thriller;
731;Forrest Gump;1994;Tous publics;142;Drama; Romance;
732;La vie est belle;1997;Tous publics;116;Comedy; Drama; Romance
733;La vie est belle;1946;Tous publics;130;Drama; Family; Fantasy
734;Sita Ramam;2022;;163;Action; Drama; Mystery
735;Casablanca;1942;Tous publics;102;Drama; Romance; War
736;Cinéma Paradiso;1988;Tous publics;155;Drama; Romance;
737;Les temps modernes;1936;Tous publics;87;Comedy; Drama; Romance
738;Les lumières de la ville;1931;Tous publics;87;Comedy; Drama; Romance
739;96;2018;Tous publics;158;Drama; Romance;
740;Your Name.;2016;Tous publics;106;Animation; Drama; Fantasy
741;Dil Bechara;2020;;101;Comedy; Drama; Romance
742;Will Hunting;1997;Tous publics;126;Drama; Romance;
743;Eternal Sunshine of the Spotlessd;2004;Tous publics;108;Drama; Romance; Sci-Fi
744;Chantons sous la pluie;1952;Tous publics;103;Comedy; Musical; Romance
745;Le fabuleux destin d'Amélie Poulain;2001;Tous publics;122;Comedy; Romance;
746;Sueurs froides;1958;Tous publics;128;Mystery; Romance; Thriller
747;La garçonnière;1960;Tous publics;125;Comedy; Drama; Romance
748;Chhichhore;2019;;143;Comedy; Drama; Romance
749;Autant en emporte le vent;1939;Tous publics;238;Drama; Romance; War
750;Certains l'aiment chaud;1959;12;121;Comedy; Music; Romance
751;Dans ses yeux;2009;Tous publics;129;Drama; Mystery; Romance
752;On ne vit qu'une seule fois;2011;;155;Comedy; Drama; Musical
753;Jeu dangereux;1942;Tous publics;99;Comedy; Romance; War
754;Sherlock Junior;1924;Tous publics;45;Action; Comedy; Romance
755;Mademoiselle;2016;12 avec avertissement;145;Drama; Romance; Thriller
756;Before Sunrise;1995;Tous publics;101;Drama; Romance;
757;La mélodie du bonheur;1965;Tous publics;172;Biography; Drama; Family
758;In the Mood for Love;2000;Tous publics;98;Drama; Romance;
759;Before Sunset;2004;Tous publics;80;Drama; Romance;
760;Rebecca;1940;Tous publics;130;Drama; Film-Noir; Mystery
761;Trois couleurs: Rouge;1994;Tous publics;99;Drama; Mystery; Romance
762;New York - Miami;1934;Tous publics;105;Comedy; Romance;
763;Les Plus Belles Années de notre vie;1946;Tous publics;170;Drama; Romance; War
764;Une femme sous influence;1974;Tous publics;155;Drama; Romance;
765;Les fraises sauvages;1957;Tous publics;91;Drama; Romance;
766;Les chaussons rouges;1948;Tous publics;135;Drama; Music; Romance
767;Adieu, ma concubine;1993;Tous publics;171;Drama; Music; Romance
768;Yi yi;2000;Tous publics;173;Drama; Romance;
769;Barfi!;2012;;151;Comedy; Drama; Romance
770;Dil Chahta Hai;2001;Tous publics;183;Comedy; Drama; Romance
771;La ruée vers l'or;1925;Tous publics;95;Adventure; Comedy; Drama
772;L'aurore;1927;Tous publics;94;Drama; Romance;
773;Épouses et concubines;1991;Tous publics;125;Drama; Romance;
774;Le cirque;1928;Tous publics;72;Comedy; Family; Romance
775;Princess Bride;1987;Tous publics;98;Adventure; Comedy; Family
776;Her;2013;Tous publics;126;Drama; Romance; Sci-Fi
777;La La Land;2016;Tous publics;128;Comedy; Drama; Music
778;Le lauréat;1967;Tous publics;106;Comedy; Drama; Romance
779;Big Fish;2003;Tous publics;125;Adventure; Drama; Fantasy
780;Aladdin;1992;Tous publics;90;Animation; Adventure; Comedy
781;Inception;2010;Tous publics;148;Action; Adventure; Sci-Fi
782;Matrix;1999;Tous publics avec avertissement;136;Action; Sci-Fi;
783;L'Empire contre-attaque;1980;Tous publics;124;Action; Adventure; Fantasy
784;Interstellar;2014;Tous publics;169;Adventure; Drama; Sci-Fi
785;Star Wars: Épisode IV - Un nouvel espoir;1977;Tous publics;121;Action; Adventure; Fantasy
786;Terminator 2 : Le jugement dernier;1991;12;137;Action; Sci-Fi;
787;Retour vers le futur;1985;Tous publics;116;Adventure; Comedy; Sci-Fi
788;Alien - Le 8ème passager;1979;12;117;Horror; Sci-Fi;
789;Le Prestige;2006;Tous publics;130;Drama; Mystery; Sci-Fi
790;Avengers: Endgame;2019;Tous publics;181;Action; Adventure; Drama
791;Spider-Man: New Generation;2018;Tous publics;117;Animation; Action; Adventure
792;Avengers: Infinity War;2018;Tous publics;149;Action; Adventure; Sci-Fi
793;Aliens : Le Retour;1986;13;137;Action; Adventure; Sci-Fi
794;WALL·E;2008;Tous publics;98;Animation; Adventure; Family
795;Les Gardiens de la Galaxie 3;2023;Tous publics;150;Action; Adventure; Comedy
796;Le Retour du Jedi;1983;Tous publics;131;Action; Adventure; Fantasy
797;Eternal Sunshine of the Spotlessd;2004;Tous publics;108;Drama; Romance; Sci-Fi
798;Orange mécanique;1971;18;136;Crime; Sci-Fi;
799;2001 : L'Odyssée de l'espace;1968;Tous publics;149;Adventure; Sci-Fi;
800;Metropolis;1927;Tous publics;153;Drama; Sci-Fi;
801;Spider-Man: No Way Home;2021;Tous publics;148;Action; Adventure; Fantasy
802;Jurassic Park;1993;Tous publics;127;Action; Adventure; Sci-Fi
803;The Thing;1982;13;109;Horror; Mystery; Sci-Fi
804;V pour vendetta;2005;Tous publics avec avertissement;132;Action; Drama; Sci-Fi
805;Mad Max: Fury Road;2015;Tous publics avec avertissement;120;Action; Adventure; Sci-Fi
806;Blade Runner;1982;Tous publics avec avertissement;117;Action; Drama; Sci-Fi
807;Terminator;1984;13;107;Action; Sci-Fi;
808;Logan;2017;12 avec avertissement;137;Action; Drama; Sci-Fi
809;Stalker;1979;Tous publics;162;Drama; Sci-Fi;
810;Le géant de fer;1999;Tous publics;86;Animation; Action; Adventure
811;Neon Genesis Evangelion: The End of Evangelion;1997;12;87;Animation; Action; Drama
812;P.K.;2014;13;153;Comedy; Drama; Sci-Fi
813;Les Gardiens de la Galaxie;2014;Tous publics;121;Action; Adventure; Comedy
814;Dune;2021;Tous publics;155;Action; Adventure; Drama
815;Blade Runner 2049;2017;Tous publics avec avertissement;164;Action; Drama; Mystery
816;Avengers;2012;Tous publics;143;Action; Sci-Fi;
817;Her;2013;Tous publics;126;Drama; Romance; Sci-Fi
818;Seul sur Mars;2015;Tous publics;144;Adventure; Drama; Sci-Fi
819;Zack Snyder's Justice League;2021;12;242;Action; Adventure; Fantasy
820;Donnie Darko;2001;Tous publics;113;Drama; Mystery; Sci-Fi
821;L'Armée des 12 singes;1995;Tous publics avec avertissement;129;Mystery; Sci-Fi; Thriller
822;La Planète des singes;1968;13;112;Adventure; Sci-Fi;
823;Akira;1988;12;124;Animation; Action; Drama
824;Nausicaä de la vallée du vent;1984;Tous publics;117;Animation; Adventure; Sci-Fi
825;Solaris;1972;Tous publics;167;Drama; Mystery; Sci-Fi
826;G.O.R.A.;2004;;127;Adventure; Comedy; Sci-Fi
827;Everything Everywhere All at Once;2022;Tous publics;139;Action; Adventure; Comedy
828;Avatar;2009;Tous publics;162;Action; Adventure; Fantasy
829;Iron Man;2008;Tous publics;126;Action; Adventure; Sci-Fi
830;Premier contact;2016;Tous publics;116;Drama; Mystery; Sci-Fi
831;Dangal;2016;Tous publics;161;Action; Biography; Drama
832;Warrior;2011;Tous publics;140;Action; Drama; Sport
833;Les enfants du ciel;1997;Tous publics;89;Drama; Family; Sport
834;Bhaag Milkha Bhaag;2013;;186;Biography; Drama; Sport
835;Paan Singh Tomar;2012;;135;Action; Biography; Crime
836;Le Mans '66;2019;Tous publics;152;Action; Biography; Drama
837;Rocky;1976;Tous publics;120;Drama; Sport;
838;Million Dollar Baby;2004;Tous publics;132;Drama; Sport;
839;Rush;2013;Tous publics;123;Action; Biography; Drama
840;Raging Bull;1980;12;129;Biography; Drama; Sport
841;Lagaan;2001;Tous publics;224;Drama; Musical; Sport
842;Chak De! India;2007;;153;Drama; Family; Sport
843;De l'ombre à la lumière;2005;Tous publics;144;Biography; Drama; Romance
844;L'Arnaqueur;1961;Tous publics;134;Drama; Sport;
845;The Wrestler;2008;Tous publics;109;Drama; Sport;
846;M.S. Dhoni: The Untold Story;2016;;184;Biography; Drama; Sport
847;Le plus beau des combats;2000;Tous publics;113;Biography; Drama; Sport
848;Le gang des champions;1993;Tous publics;101;Comedy; Drama; Family
849;Fighter;2010;Tous publics;116;Action; Biography; Drama
850;Burt Munro;2005;Tous publics;127;Biography; Drama; Sport
851;Kai po che!;2013;;130;Drama; Sport;
852;Les triplettes de Belleville;2003;Tous publics;80;Animation; Adventure; Comedy
853;Air;2023;R;111;Drama; Sport;
854;Le stratège;2011;Tous publics;133;Biography; Drama; Sport
855;The Blind Side;2009;Tous publics;129;Biography; Drama; Sport
856;Creed: L'héritage de Rocky Balboa;2015;Tous publics;133;Action; Drama; Sport
857;Hurricane Carter;1999;Tous publics;146;Biography; Drama; Sport
858;Moi, Tonya;2017;Tous publics;119;Biography; Comedy; Drama
859;Jusqu'au bout du rêve;1989;Tous publics;107;Drama; Family; Fantasy
860;42;2013;Tous publics;128;Biography; Drama; Sport
861;The Art of Racing in the Rain;2019;Tous publics;109;Comedy; Drama; Romance
862;La Méthode Williams;2021;Tous publics;144;Biography; Drama; Sport
863;Waves;2019;Tous publics;135;Drama; Romance; Sport
864;Le Grand Bleu;1988;Tous publics;168;Adventure; Drama; Sport
865;Rudy;1993;PG;114;Biography; Drama; Sport
866;'83;2021;;162;Biography; Drama; History
867;The Damned United;2009;R;98;Biography; Drama; Sport
868;Le grand défi;1986;Tous publics;114;Drama; Sport;
869;Hooligans;2005;16;109;Crime; Drama; Sport
870;Les Nageuses;2022;16;134;Biography; Drama; Sport
871;Le grand jeu;2017;Tous publics;140;Biography; Crime; Drama
872;Miracle;2004;Tous publics;135;Biography; Drama; History
873;Le meilleur;1984;Tous publics;138;Drama; Sport;
874;McFarland, USA;2015;PG;129;Biography; Drama; Sport
875;Un parcours de légende;2005;Tous publics;120;Biography; Drama; Sport
876;À la recherche de Bobby Fischer;1993;Tous publics;109;Biography; Drama; Sport
877;Jhund;2022;;176;Biography; Drama; Sport
878;Une équipe hors du commun;1992;Tous publics;128;Comedy; Drama; Sport
879;Le moment de vérité;1984;Tous publics;126;Action; Drama; Family
880;Le haut du panier;2022;7;117;Comedy; Drama; Sport
881;The Dark Knight : Le Chevalier noir;2008;Tous publics;152;Action; Crime; Drama
882;Aynabaji;2016;;147;Crime; Mystery; Thriller
883;Inception;2010;Tous publics;148;Action; Adventure; Sci-Fi
884;Seven;1995;12;127;Crime; Drama; Mystery
885;Le Silence des agneaux;1991;16;118;Crime; Drama; Thriller
886;Léon;1994;12;110;Action; Crime; Drama
887;Parasite;2019;Tous publics avec avertissement;132;Drama; Thriller;
888;Les infiltrés;2006;Tous publics avec avertissement;151;Crime; Drama; Thriller
889;Le Prestige;2006;Tous publics;130;Drama; Mystery; Sci-Fi
890;Usual Suspects;1995;Tous publics;106;Crime; Drama; Mystery
891;Psychose;1960;18;109;Horror; Mystery; Thriller
892;Fenêtre sur cour;1954;Tous publics;112;Mystery; Thriller;
893;Joker;2019;12 avec avertissement;122;Crime; Drama; Thriller
894;Old Boy;2003;16;120;Action; Drama; Mystery
895;Requiem pour un massacre - Va et regarde;1985;Tous publics avec avertissement;142;Drama; Thriller; War
896;The Dark Knight Rises;2012;Tous publics;164;Action; Drama; Thriller
897;Aliens : Le Retour;1986;13;137;Action; Adventure; Sci-Fi
898;Memento;2000;Tous publics;113;Mystery; Thriller;
899;La vie des autres;2006;Tous publics;137;Drama; Mystery; Thriller
900;Témoin à charge;1957;Tous publics;116;Crime; Drama; Mystery
901;Kaithi;2019;18;145;Action; Adventure; Crime
902;Entre le ciel et l'enfer;1963;Tous publics;143;Crime; Drama; Mystery
903;Drishyam 2;2021;13;152;Crime; Drama; Thriller
904;Reservoir Dogs;1992;16;99;Crime; Thriller;
905;Sueurs froides;1958;Tous publics;128;Mystery; Romance; Thriller
906;La mort aux trousses;1959;Tous publics;136;Action; Adventure; Mystery
907;M le maudit;1931;Tous publics;118;Crime; Mystery; Thriller
908;Assurance sur la mort;1944;Tous publics;107;Crime; Drama; Film-Noir
909;Kantara;2022;;148;Action; Adventure; Drama
910;K.G.F: Chapter 2;2022;13;168;Action; Crime; Drama
911;Vikram;2022;;175;Action; Crime; Thriller
912;Ratsasan;2018;;170;Action; Crime; Drama
913;Drishyam;2013;;160;Crime; Drama; Thriller
914;John Wick: Chapitre 4;2023;12;169;Action; Crime; Thriller
915;Jurassic Park;1993;Tous publics;127;Action; Adventure; Sci-Fi
916;No Country for Old Men;2007;12;122;Crime; Drama; Thriller
917;Shutter Island;2010;12;138;Mystery; Thriller;
918;Kill Bill: Volume I;2003;16;111;Action; Crime; Drama
919;Sixième sens;1999;12;107;Drama; Mystery; Thriller
920;Piège de cristal;1988;Tous publics;132;Action; Thriller;
921;V pour vendetta;2005;Tous publics avec avertissement;132;Action; Drama; Sci-Fi
922;Chinatown;1974;12;130;Drama; Mystery; Thriller
923;L.A. Confidential;1997;Tous publics;138;Crime; Drama; Mystery
924;Demon Slayer - Kimetsu no Yaiba, le film : Le Train de l'Infini;2020;Tous publics avec avertissement;117;Animation; Action; Adventure
925;La Grande Évasion;1963;Tous publics;172;Adventure; Drama; History
926;Dans ses yeux;2009;Tous publics;129;Drama; Mystery; Romance
927;Tumbbad;2018;;104;Drama; Fantasy; Horror
928;Drishyam 2;2022;13;140;Crime; Drama; Mystery
929;Le crime était presque parfait;1954;Tous publics;105;Crime; Thriller;
930;Le garde du corps;1961;Tous publics;110;Action; Drama; Thriller
931;Il faut sauver le soldat Ryan;1998;Tous publics avec avertissement;169;Drama; War;
932;La vie est belle;1997;Tous publics;116;Comedy; Drama; Romance
933;Le pianiste;2002;Tous publics;150;Biography; Drama; Music
934;Casablanca;1942;Tous publics;102;Drama; Romance; War
935;Le tombeau des lucioles;1988;Tous publics;89;Animation; Drama; War
936;Apocalypse Now;1979;Tous publics avec avertissement;147;Drama; Mystery; War
937;Requiem pour un massacre - Va et regarde;1985;Tous publics avec avertissement;142;Drama; Thriller; War
938;Braveheart;1995;Tous publics;178;Biography; Drama; History
939;Dr. Folamour ou : Comment j'ai appris à ne plus m'en faire et à aimer la bombe !;1964;Tous publics;95;Comedy; War;
940;Le Bateau;1981;Tous publics;149;Drama; War;
941;Les sentiers de la gloire;1957;Banned;88;Drama; War;
942;Le dictateur;1940;Tous publics;125;Comedy; Drama; War
943;Inglourious Basterds;2009;12;153;Adventure; Drama; War
944;Full Metal Jacket;1987;13;116;Drama; War;
945;Lawrence d'Arabie;1962;Tous publics;218;Adventure; Biography; Drama
946;Jugement à Nuremberg;1961;Tous publics;179;Drama; War;
947;Ayla;2017;;125;Biography; Drama; History
948;Shershaah;2021;13;135;Action; Biography; Drama
949;1917;2019;Tous publics avec avertissement;119;Action; Drama; War
950;La chute;2004;Tous publics avec avertissement;156;Biography; Drama; History
951;Le labyrinthe de Pan;2006;12;118;Drama; Fantasy; War
952;Autant en emporte le vent;1939;Tous publics;238;Drama; Romance; War
953;La Grande Évasion;1963;Tous publics;172;Adventure; Drama; History
954;Ran;1985;Tous publics;162;Action; Drama; War
955;Jeu dangereux;1942;Tous publics;99;Comedy; Romance; War
956;Uri: The Surgical Strike;2019;;138;Action; Drama; History
957;Montagne II;2016;;135;Action; Drama; War
958;Tu ne tueras point;2016;12;139;Biography; Drama; History
959;Platoon;1986;12;120;Drama; War;
960;Voyage au bout de l'enfer;1978;12;183;Drama; War;
961;Barry Lyndon;1975;Tous publics;185;Adventure; Drama; War
962;Hôtel Rwanda;2004;Tous publics;121;Biography; Drama; History
963;Le pont de la rivière Kwaï;1957;Tous publics;161;Adventure; Drama; War
964;À l'Ouest rien de nouveau;1930;Tous publics;152;Drama; War;
965;Les Plus Belles Années de notre vie;1946;Tous publics;170;Drama; Romance; War
966;Underground;1995;;170;Comedy; Drama; Fantasy
967;Le message;1976;Tous publics;177;Biography; Drama; History
968;La bataille d'Alger;1966;Tous publics;121;Drama; War;
969;Le mécano de la Générale;1926;Tous publics;67;Action; Adventure; Comedy
970;La grande illusion;1937;Tous publics;113;Drama; War;
971;Mandarines;2013;Tous publics;87;Drama; War;
972;Dara iz Jasenovca;2020;R;130;Drama; War;
973;Imitation Game;2014;Tous publics;114;Biography; Drama; Thriller
974;Ip man;2008;12;106;Action; Biography; Drama
975;La Voix d'Aida;2020;Tous publics;101;Drama; History; War
976;Persepolis;2007;Tous publics;96;Animation; Biography; Drama
977;Stalag 17;1953;Tous publics;120;Comedy; Drama; War
978;Au revoir les enfants;1987;Tous publics;104;Drama; War;
979;L'enfance d'Ivan;1962;Tous publics;95;Drama; War;
980;Frères de sang;2004;12;140;Action; Drama; War
981;Le Bon, la brute, le truand;1966;12;161;Adventure; Western;
982;Il était une fois dans l'Ouest;1968;Tous publics;165;Western;;
983;Django Unchained;2012;12;165;Drama; Western;
984;Impitoyable;1992;Tous publics;130;Drama; Western;
985;...et pour quelques dollars de plus;1965;18;132;Drama; Western;
986;Le Trésor de la Sierra Madre;1948;Tous publics;126;Adventure; Drama; Western
987;L'homme qui tua Liberty Valance;1962;12;123;Drama; Western;
988;La ruée vers l'or;1925;Tous publics;95;Adventure; Comedy; Drama
989;Sholay;1975;;204;Action; Adventure; Comedy
990;Danse avec les loups;1990;Tous publics;181;Adventure; Drama; Western
991;The Revenant;2015;12;156;Action; Adventure; Drama
992;Butch Cassidy et le Kid;1969;Tous publics;110;Biography; Crime; Drama
993;Rio Bravo;1959;;141;Drama; Western;
994;Le train sifflera trois fois;1952;Tous publics;85;Drama; Thriller; Western
995;Pour une poignée de dollars;1964;Tous publics;99;Action; Drama; Western
996;La prisonnière du désert;1956;Tous publics;119;Adventure; Drama; Western
997;La Horde sauvage;1969;18;145;Action; Adventure; Drama
998;Tombstone;1993;Tous publics;130;Biography; Drama; History
999;Les 8 Salopards;2015;12 avec avertissement;168;Crime; Drama; Mystery
1000;Josey Wales hors-la-loi;1976;Tous publics;135;Western;;
1001;La rivière rouge;1948;;133;Drama; Western;
1002;La Chevauchée fantastique;1939;Tous publics;96;Adventure; Drama; Western
1003;Wind River;2017;12;107;Crime; Drama; Mystery
1004;Les 7 mercenaires;1960;Tous publics;128;Action; Adventure; Drama
1005;Le shérif est en prison;1974;Tous publics;93;Comedy; Western;
1006;3h10 pour Yuma;2007;18;122;Action; Crime; Drama
1007;Comancheria;2016;Tous publics avec avertissement;102;Crime; Drama; Thriller
1008;True Grit;2010;Tous publics;110;Drama; Western;
1009;Jeremiah Johnson;1972;Tous publics;108;Adventure; Drama; Western
1010;Géant;1956;Tous publics;201;Drama; Western;
1011;L'Homme des vallées perdues;1953;Tous publics;118;Drama; Western;
1012;Le dernier des géants;1976;Tous publics;100;Drama; Romance; Western
1013;Il était une fois... la révolution;1971;Tous publics;157;Drama; War; Western
1014;John McCabe;1971;12;120;Drama; Western;
1015;Légendes d'automne;1994;Tous publics;133;Drama; Romance; War
1016;L'assassinat de Jesse James par le lâche Robert Ford;2007;Tous publics;160;Biography; Crime; Drama
1017;El Dorado;1966;Tous publics;126;Drama; Romance; Western
1018;Des souris et des hommes;1992;Tous publics;115;Drama; Western;
1019;Dead Man;1995;Tous publics;121;Adventure; Drama; Fantasy
1020;Little Big Man;1970;Tous publics;139;Adventure; Comedy; Drama
1021;Open Range;2003;Tous publics;139;Action; Drama; Romance
1022;Retour vers le futur 3;1990;Tous publics;118;Adventure; Comedy; Sci-Fi
1023;L'homme des hautes plaines;1973;Tous publics;105;Drama; Mystery; Western
1024;100 dollars pour un shérif;1969;12;128;Adventure; Drama; Western
1025;Lone Star;1996;Tous publics;135;Drama; Mystery; Western
1026;Yahsi Bati;2009;;112;Adventure; Comedy; Fantasy
1027;La ballade de Buster Scruggs;2018;16;133;Comedy; Drama; Musical
1028;Pale Rider - Le cavalier solitaire;1985;Tous publics;115;Drama; Western;
1029;Les sept femmes de Barberousse;1954;Tous publics;102;Comedy; Drama; Musical
1030;Mon nom est Personne;1973;Tous publics;116;Comedy; Drama; Western